machine_type,session_id,scenario,timestamp,step,temperature,pressure,vibration,state
compressor,compressor-0000,degrading,2026-01-01T00:00:00+00:00,0,51.9024,8.2818,1.5182,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:01+00:00,1,51.9506,8.2418,1.3739,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:02+00:00,2,52.5865,8.3566,1.43,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:03+00:00,3,53.0993,8.416,1.6532,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:04+00:00,4,53.2983,8.3713,1.5577,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:05+00:00,5,53.0437,8.289,1.5057,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:06+00:00,6,53.2786,8.3741,1.4461,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:07+00:00,7,54.2166,8.2061,1.4779,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:08+00:00,8,54.3794,8.2952,1.66,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:09+00:00,9,53.8015,8.3078,1.6422,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:10+00:00,10,53.6405,8.3935,1.549,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:11+00:00,11,53.9172,8.4355,1.517,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:12+00:00,12,52.852,8.3084,1.4207,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:13+00:00,13,52.4411,8.3375,1.5834,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:14+00:00,14,52.2707,8.2622,1.5592,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:15+00:00,15,54.1352,8.0803,1.4525,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:16+00:00,16,53.0835,7.9595,1.4603,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:17+00:00,17,52.6706,7.9671,1.2683,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:18+00:00,18,51.9755,7.8516,1.2286,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:19+00:00,19,49.5137,7.8296,1.3181,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:20+00:00,20,48.7893,7.7431,1.3164,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:21+00:00,21,49.2034,7.7653,1.35,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:22+00:00,22,49.7731,7.9441,1.3138,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:23+00:00,23,49.6147,7.8943,1.318,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:24+00:00,24,51.0333,8.2242,1.5833,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:25+00:00,25,49.9295,8.1375,1.541,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:26+00:00,26,48.8705,8.1728,1.5147,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:27+00:00,27,48.0725,8.1835,1.7205,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:28+00:00,28,48.394,8.2046,1.5888,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:29+00:00,29,48.7564,8.2038,1.7112,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:30+00:00,30,50.3291,8.3797,1.7993,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:31+00:00,31,50.7711,8.2306,1.7659,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:32+00:00,32,50.8131,8.2138,1.7502,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:33+00:00,33,51.8382,8.1679,1.8116,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:34+00:00,34,51.6916,8.1831,1.693,NORMAL
compressor,compressor-0000,degrading,2026-01-01T00:00:35+00:00,35,53.711,8.1139,1.759,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:36+00:00,36,55.3646,8.3329,1.616,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:37+00:00,37,55.8712,8.3008,1.9705,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:38+00:00,38,55.323,8.2919,1.7265,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:39+00:00,39,53.5,8.2279,1.6518,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:40+00:00,40,55.8227,8.2022,1.8241,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:41+00:00,41,55.3924,8.1175,1.6626,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:42+00:00,42,55.4811,8.0205,1.4513,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:43+00:00,43,54.986,8.3447,1.4907,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:44+00:00,44,54.5617,8.0507,1.5985,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:45+00:00,45,56.4961,8.0418,1.3896,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:46+00:00,46,55.3821,7.9338,1.4271,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:47+00:00,47,55.4255,8.0007,1.3822,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:48+00:00,48,56.2867,7.5427,1.4204,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:49+00:00,49,56.0087,7.4776,1.3939,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:50+00:00,50,54.4793,7.5877,1.2875,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:51+00:00,51,54.9167,7.9665,1.7078,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:52+00:00,52,54.4168,7.9073,1.9138,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:53+00:00,53,54.679,7.8607,1.8549,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:54+00:00,54,53.0233,7.5848,2.0763,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:55+00:00,55,53.2562,7.4636,2.2224,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:56+00:00,56,52.6814,7.3341,1.9387,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:57+00:00,57,53.3185,7.6077,1.8264,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:58+00:00,58,52.9259,7.4401,1.9019,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:00:59+00:00,59,52.8571,7.5625,1.8922,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:00+00:00,60,53.8981,7.4755,2.085,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:01+00:00,61,53.6093,7.5489,2.2225,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:02+00:00,62,53.9438,7.532,1.9348,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:03+00:00,63,53.4372,7.5296,1.8573,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:04+00:00,64,54.63,7.8389,1.7919,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:05+00:00,65,55.4923,7.6778,1.755,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:06+00:00,66,53.9721,7.5214,1.9368,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:07+00:00,67,54.7018,7.7473,1.9813,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:08+00:00,68,55.6833,7.8132,2.0884,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:09+00:00,69,57.0774,7.8654,2.0621,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:10+00:00,70,57.4094,7.9724,1.9615,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:11+00:00,71,57.5583,7.886,2.0093,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:12+00:00,72,59.1281,7.8531,2.1517,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:13+00:00,73,58.9248,7.8234,2.1502,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:14+00:00,74,58.1506,7.7571,2.1316,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:15+00:00,75,56.0598,7.3793,2.313,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:16+00:00,76,56.3752,7.459,2.0753,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:17+00:00,77,56.4482,7.5497,2.0947,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:18+00:00,78,56.2481,7.4472,2.0377,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:19+00:00,79,54.0697,7.4604,1.9232,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:20+00:00,80,54.4499,7.3875,1.9341,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:21+00:00,81,55.1918,7.068,1.7864,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:22+00:00,82,54.7665,7.3124,1.9849,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:23+00:00,83,53.4597,7.3365,1.9936,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:24+00:00,84,53.2448,7.0579,1.8393,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:25+00:00,85,54.4095,7.0789,1.93,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:26+00:00,86,54.3332,7.1489,2.0721,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:27+00:00,87,54.4759,7.3235,2.1493,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:28+00:00,88,55.4587,7.3373,2.3492,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:29+00:00,89,55.5602,7.2776,2.4124,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:30+00:00,90,55.757,7.4911,2.42,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:31+00:00,91,55.1768,7.5743,2.2956,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:32+00:00,92,55.978,7.6722,2.3152,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:33+00:00,93,55.6574,7.7345,2.4499,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:34+00:00,94,55.1456,7.673,2.4883,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:35+00:00,95,55.6891,7.3459,2.3647,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:36+00:00,96,57.2573,7.3551,2.4687,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:37+00:00,97,58.0414,7.4524,2.2931,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:38+00:00,98,56.8429,7.4343,2.39,DEGRADATION
