machine_type,session_id,scenario,timestamp,step,temperature,vibration,rpm,state
motor,motor-0000,failure,2026-01-01T00:00:00+00:00,0,54.773,1.6536,1830.7678,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:01+00:00,1,54.5726,1.8621,1858.0397,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:02+00:00,2,56.0484,1.6753,1829.6108,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:03+00:00,3,57.2369,1.5239,1831.1334,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:04+00:00,4,56.3457,1.5899,1834.5676,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:05+00:00,5,56.6278,1.5515,1809.8159,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:06+00:00,6,56.9104,1.6215,1813.6739,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:07+00:00,7,57.1346,1.734,1824.1949,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:08+00:00,8,57.6343,1.7177,1821.3229,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:09+00:00,9,58.2154,1.7913,1812.6229,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:10+00:00,10,56.8805,1.7301,1802.5912,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:11+00:00,11,56.0626,1.5508,1812.2925,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:12+00:00,12,56.5921,1.6587,1796.7143,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:13+00:00,13,56.6338,1.7207,1802.2877,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:14+00:00,14,56.3849,1.6382,1805.5301,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:15+00:00,15,55.9856,1.5161,1808.6696,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:16+00:00,16,55.9796,1.6204,1806.944,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:17+00:00,17,55.3251,1.4781,1792.9093,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:18+00:00,18,55.1272,1.4753,1804.7528,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:19+00:00,19,55.3685,1.4959,1800.6285,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:20+00:00,20,54.7726,1.389,1807.5375,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:21+00:00,21,54.2694,1.4317,1804.3262,NORMAL
motor,motor-0000,failure,2026-01-01T00:00:22+00:00,22,53.4485,1.5818,1803.0414,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:23+00:00,23,54.3725,1.8433,1796.3306,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:24+00:00,24,52.9055,1.8964,1798.901,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:25+00:00,25,54.0122,1.8397,1822.5494,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:26+00:00,26,55.601,1.782,1826.391,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:27+00:00,27,56.5846,2.0215,1805.7253,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:28+00:00,28,57.4045,2.0513,1813.4387,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:29+00:00,29,57.9362,2.0435,1810.3445,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:30+00:00,30,57.459,2.1329,1775.6752,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:31+00:00,31,58.4638,2.0158,1765.9836,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:32+00:00,32,58.8214,1.9194,1782.3946,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:33+00:00,33,57.7999,1.9989,1752.2563,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:34+00:00,34,60.3615,2.3513,1763.1915,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:35+00:00,35,62.2304,2.3778,1771.7172,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:36+00:00,36,63.0242,2.3692,1773.9678,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:37+00:00,37,61.9885,2.5372,1762.2277,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:38+00:00,38,60.7772,2.6242,1746.2464,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:39+00:00,39,59.3755,2.5602,1732.7102,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:40+00:00,40,59.7088,2.5747,1726.0452,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:41+00:00,41,59.7997,2.5448,1727.0811,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:42+00:00,42,60.3309,2.6792,1721.9101,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:43+00:00,43,60.5846,2.4233,1713.1625,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:44+00:00,44,59.9628,2.3129,1718.0153,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:45+00:00,45,59.8259,2.364,1707.6893,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:46+00:00,46,59.3539,2.3582,1702.9155,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:47+00:00,47,61.145,2.2757,1713.0876,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:48+00:00,48,60.2841,2.4455,1692.9917,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:49+00:00,49,59.7674,2.6359,1722.275,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:50+00:00,50,60.1596,2.5554,1754.7418,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:51+00:00,51,59.8613,2.5798,1757.5222,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:52+00:00,52,59.2934,2.4624,1760.3534,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:53+00:00,53,58.4823,2.5175,1759.3871,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:54+00:00,54,58.8362,2.6725,1757.0023,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:55+00:00,55,59.3934,2.6898,1760.964,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:56+00:00,56,60.6951,2.7609,1723.7195,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:57+00:00,57,59.7943,2.7444,1745.1292,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:58+00:00,58,60.5795,2.8598,1765.6822,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:00:59+00:00,59,63.6756,3.0475,1756.0987,DEGRADATION
motor,motor-0000,failure,2026-01-01T00:01:00+00:00,60,64.1713,3.129,1734.3452,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:01+00:00,61,64.5977,2.63,1714.7508,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:02+00:00,62,62.1384,2.5541,1730.8421,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:03+00:00,63,62.4053,2.2622,1708.889,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:04+00:00,64,63.6403,2.6861,1695.179,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:05+00:00,65,63.5012,2.636,1701.6268,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:06+00:00,66,61.8637,2.5735,1700.7504,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:07+00:00,67,63.8199,2.801,1683.0124,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:08+00:00,68,64.7365,2.7155,1663.2336,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:09+00:00,69,66.8827,3.0525,1675.5828,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:10+00:00,70,64.5432,2.7937,1662.376,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:11+00:00,71,64.0273,2.7703,1707.1452,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:12+00:00,72,63.3597,2.6705,1722.9361,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:13+00:00,73,61.8053,2.7623,1718.1927,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:14+00:00,74,59.7814,3.0358,1714.7135,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:15+00:00,75,59.6278,3.2454,1687.1211,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:16+00:00,76,62.7933,3.1262,1692.9152,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:17+00:00,77,63.8857,3.0039,1665.3342,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:18+00:00,78,65.7417,2.8835,1690.9684,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:19+00:00,79,64.336,3.0151,1665.0833,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:20+00:00,80,64.4473,2.5246,1682.5033,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:21+00:00,81,64.7698,2.5878,1675.1873,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:22+00:00,82,64.8261,2.9419,1665.0346,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:23+00:00,83,65.7339,3.1058,1644.8713,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:24+00:00,84,62.9478,2.9565,1665.3432,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:25+00:00,85,61.6652,2.8342,1667.7516,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:26+00:00,86,63.4608,3.0275,1654.8683,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:27+00:00,87,67.3964,3.7113,1700.2647,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:28+00:00,88,66.2218,3.6453,1701.9462,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:29+00:00,89,66.9697,3.8856,1666.982,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:30+00:00,90,68.0489,3.6485,1658.2221,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:31+00:00,91,68.5111,3.5443,1684.1417,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:32+00:00,92,68.6178,3.8757,1680.4537,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:33+00:00,93,66.9786,3.5794,1668.425,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:34+00:00,94,66.5411,3.263,1620.5221,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:35+00:00,95,65.5573,3.6297,1609.1976,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:36+00:00,96,67.8235,4.2922,1598.1544,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:37+00:00,97,67.511,4.0465,1593.8935,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:38+00:00,98,67.9647,4.0101,1568.3211,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:39+00:00,99,67.7779,3.6807,1561.564,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:40+00:00,100,67.144,3.7016,1564.5278,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:41+00:00,101,68.1231,3.6169,1570.7748,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:42+00:00,102,69.4471,3.2115,1565.6087,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:43+00:00,103,68.8572,3.331,1564.5143,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:44+00:00,104,67.4392,3.4356,1547.9501,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:45+00:00,105,67.7728,3.7066,1550.3378,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:46+00:00,106,68.1169,3.9182,1566.2383,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:47+00:00,107,65.7673,4.1282,1634.4411,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:48+00:00,108,65.4734,3.8089,1631.7184,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:49+00:00,109,66.7845,3.997,1569.737,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:50+00:00,110,67.9336,4.1084,1593.3113,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:51+00:00,111,67.5299,4.4261,1566.0148,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:52+00:00,112,70.5016,4.3472,1561.9726,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:53+00:00,113,70.8109,4.5424,1587.6254,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:54+00:00,114,73.0706,4.5618,1596.8834,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:55+00:00,115,70.1282,4.3717,1613.7057,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:56+00:00,116,69.8927,4.863,1602.1577,FAILURE
motor,motor-0000,failure,2026-01-01T00:01:57+00:00,117,71.5826,4.3722,1602.6683,FAILURE
