machine_type,session_id,scenario,timestamp,step,pressure,flow_rate,vibration,state
pump,pump-0000,failure,2026-01-01T00:00:00+00:00,0,4.4415,91.1883,1.473,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:01+00:00,1,4.3988,91.3797,1.4704,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:02+00:00,2,4.3666,93.0097,1.633,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:03+00:00,3,4.324,91.7461,1.647,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:04+00:00,4,4.2955,92.9049,1.7131,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:05+00:00,5,4.3366,95.7918,1.559,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:06+00:00,6,4.3511,94.9274,1.5793,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:07+00:00,7,4.5633,96.9539,1.5975,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:08+00:00,8,4.6039,95.16,1.5489,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:09+00:00,9,4.5798,97.7732,1.6063,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:10+00:00,10,4.5007,95.0988,1.5302,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:11+00:00,11,4.5458,95.8497,1.2,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:12+00:00,12,4.4702,94.639,1.1844,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:13+00:00,13,4.5768,95.9303,1.2294,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:14+00:00,14,4.6818,93.4476,1.2853,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:15+00:00,15,4.6969,92.5161,1.0453,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:16+00:00,16,4.7411,85.741,1.1206,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:17+00:00,17,4.7214,87.0998,0.9584,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:18+00:00,18,4.5009,86.9655,0.9587,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:19+00:00,19,4.559,85.3173,1.0812,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:20+00:00,20,4.5089,85.1216,0.9655,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:21+00:00,21,4.6384,87.2014,0.9197,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:22+00:00,22,4.6339,88.0141,1.1076,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:23+00:00,23,4.4496,86.0455,1.2216,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:24+00:00,24,4.592,84.6985,1.2193,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:25+00:00,25,4.4897,86.0545,1.1581,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:26+00:00,26,4.4686,86.7589,1.2731,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:27+00:00,27,4.5529,88.213,1.3752,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:28+00:00,28,4.462,87.8845,1.2713,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:29+00:00,29,4.4997,89.3536,1.3951,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:30+00:00,30,4.4526,90.2585,1.3907,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:31+00:00,31,4.3368,90.3357,1.4447,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:32+00:00,32,4.3661,86.7649,1.4087,NORMAL
pump,pump-0000,failure,2026-01-01T00:00:33+00:00,33,4.4157,85.7495,1.4199,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:34+00:00,34,4.4659,90.7401,1.4219,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:35+00:00,35,4.4329,91.7893,1.3749,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:36+00:00,36,4.5711,90.9168,1.5195,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:37+00:00,37,4.6581,89.8251,1.4273,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:38+00:00,38,4.6537,89.4413,1.6446,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:39+00:00,39,4.5544,89.606,1.7404,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:40+00:00,40,4.5782,88.6936,1.7541,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:41+00:00,41,4.3546,89.0493,1.9594,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:42+00:00,42,4.2774,88.1879,1.9003,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:43+00:00,43,4.3958,88.517,1.7224,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:44+00:00,44,4.344,86.9827,1.766,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:45+00:00,45,4.3697,88.1967,1.948,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:46+00:00,46,4.371,87.3027,2.0012,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:47+00:00,47,4.1659,87.3004,2.0357,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:48+00:00,48,4.1379,88.3698,1.9526,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:49+00:00,49,4.0199,88.027,1.7946,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:50+00:00,50,4.2019,90.4213,1.8836,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:51+00:00,51,4.2678,87.3434,1.7472,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:52+00:00,52,4.1569,84.1017,2.107,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:53+00:00,53,4.0654,87.0714,2.0126,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:54+00:00,54,3.991,83.1286,2.1308,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:55+00:00,55,4.0481,80.423,1.8822,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:56+00:00,56,4.0876,80.7267,1.7963,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:57+00:00,57,4.016,79.2721,1.7751,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:58+00:00,58,3.9931,79.941,1.7493,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:00:59+00:00,59,3.9505,81.258,1.6466,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:00+00:00,60,3.8959,79.4062,1.5768,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:01+00:00,61,3.7472,78.0468,1.6979,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:02+00:00,62,3.5829,81.308,1.8725,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:03+00:00,63,3.6324,80.3208,2.1,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:04+00:00,64,3.6067,81.017,2.0551,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:05+00:00,65,3.6228,81.6464,2.3284,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:06+00:00,66,3.6932,81.0569,2.5673,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:07+00:00,67,3.6612,81.3349,2.5241,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:08+00:00,68,3.723,84.5738,2.4965,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:09+00:00,69,3.9392,86.0489,2.3375,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:10+00:00,70,4.1882,90.3843,2.4957,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:11+00:00,71,4.0909,90.5556,2.2517,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:12+00:00,72,4.0177,86.7291,2.2739,DEGRADATION
